source_id,target_id,distance
9,90,886.162128
9,91,831.734463
9,92,775.689712
9,93,750.882304
9,94,713.832221
9,95,691.642043
9,96,651.808321
9,97,645.484344
9,98,663.719904
9,99,659.749585
10,11,49.314975
10,12,157.108300
10,13,221.315019
10,14,285.593708
10,15,393.356243
10,16,426.182475
10,17,519.333734
10,18,574.942350
10,19,672.705976
10,20,62.097545
10,21,118.076942
10,22,191.045438
10,23,232.304036
10,24,319.692317
10,25,405.243964
10,26,469.344955
10,27,543.427777
10,28,614.942719
10,29,684.286228
10,30,139.434314
10,31,185.859812
10,32,234.133874
10,33,270.179831
10,34,361.882666
10,35,400.518666
10,36,499.668340
10,37,578.586145
10,38,644.868928
10,39,718.963547
10,40,238.009938
10,41,241.795645
10,42,288.271913
10,43,311.533983
10,44,370.943688
10,45,440.947200
10,46,512.158854
10,47,582.413638
10,48,681.991175
10,49,719.571013
10,50,291.264982
10,51,343.062703
10,52,332.267048
10,53,373.814573
10,54,432.161292
10,55,493.540932
10,56,546.117213
10,57,632.582147
10,58,675.871370
10,59,774.898699
10,60,388.786101
